Registered Voters,Ballots Cast,Turnout,
"1,498,873","1,018,359",67.94%,
,,,
Ward 1,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1409,1192,84.60%
2,1378,1154,83.74%
3,1506,1224,81.27%
4,1498,1296,86.52%
5,1501,1247,83.08%
6,1291,1056,81.80%
7,1472,1234,83.83%
8,1317,1115,84.66%
9,851,705,82.84%
10,1634,1440,88.13%
11,1613,1200,74.40%
12,701,613,87.45%
13,1060,887,83.68%
14,940,788,83.83%
15,1471,1301,88.44%
16,1489,1270,85.29%
17,902,809,89.69%
18,1442,1216,84.33%
19,1285,1056,82.18%
20,1214,1068,87.97%
21,1269,1160,91.41%
22,1719,1485,86.39%
23,879,753,85.67%
24,1736,1414,81.45%
25,1742,1375,78.93%
26,1559,1282,82.23%
Total,"34,878","29,340",84.12%
,,,
Ward 2,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1632,1328,81.37%
2,1674,1399,83.57%
3,1237,1108,89.57%
4,1367,1164,85.15%
5,1336,1217,91.09%
6,1586,1359,85.69%
7,1411,1250,88.59%
8,1103,916,83.05%
9,1594,1313,82.37%
10,1037,740,71.36%
11,1264,1131,89.48%
12,1199,1075,89.66%
13,1636,1442,88.14%
14,909,865,95.16%
15,1263,1057,83.69%
16,1281,1121,87.51%
17,1791,1620,90.45%
18,1238,1079,87.16%
19,708,638,90.11%
20,788,769,97.59%
21,252,238,94.44%
22,1131,967,85.50%
23,1240,1006,81.13%
24,842,713,84.68%
25,1457,1237,84.90%
Total,"30,976","26,752",86.36%
,,,
Ward 3,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1631,1028,63.03%
2,1168,919,78.68%
3,1244,820,65.92%
4,1036,779,75.19%
5,380,202,53.16%
6,1440,1071,74.38%
7,691,564,81.62%
8,1511,933,61.75%
9,830,680,81.93%
10,823,693,84.20%
11,1748,1196,68.42%
12,1502,1037,69.04%
13,1431,1216,84.98%
14,1743,1430,82.04%
15,1340,868,64.78%
16,613,511,83.36%
17,574,293,51.05%
18,862,383,44.43%
19,1655,1398,84.47%
20,1257,936,74.46%
21,1234,1040,84.28%
22,947,792,83.63%
23,896,517,57.70%
24,474,241,50.84%
25,1662,1334,80.26%
26,1984,610,30.75%
27,1428,1163,81.44%
Total,"32,104","22,654",70.56%
,,,
Ward 4,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1509,1300,86.15%
2,732,513,70.08%
3,970,801,82.58%
4,1239,981,79.18%
5,621,445,71.66%
6,990,686,69.29%
7,638,501,78.53%
8,734,588,80.11%
9,1343,826,61.50%
10,925,682,73.73%
11,1162,912,78.49%
12,755,594,78.68%
13,893,635,71.11%
14,796,589,73.99%
15,783,536,68.45%
16,1148,777,67.68%
17,1803,1127,62.51%
18,746,368,49.33%
19,809,638,78.86%
20,1098,840,76.50%
21,662,551,83.23%
22,365,282,77.26%
23,660,522,79.09%
24,1404,1031,73.43%
25,1654,1459,88.21%
26,1327,1082,81.54%
27,1513,1387,91.67%
28,1610,1418,88.07%
Total,"28,889","22,071",76.40%
,,,
Ward 5,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1496,908,60.70%
2,1524,1078,70.73%
3,1582,1010,63.84%
4,1532,914,59.66%
5,405,314,77.53%
6,555,376,67.75%
7,519,252,48.55%
8,525,344,65.52%
9,432,279,64.58%
10,865,480,55.49%
11,1275,700,54.90%
12,1028,983,95.62%
13,642,427,66.51%
14,747,491,65.73%
15,1758,1538,87.49%
16,1060,942,88.87%
17,692,611,88.29%
18,1565,1405,89.78%
19,607,545,89.79%
20,1065,969,90.99%
21,1019,941,92.35%
22,1255,1080,86.06%
23,581,528,90.88%
24,555,922,166.13%
25,1654,1500,90.69%
Total,"24,938","19,537",78.34%
,,,
Ward 6,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,748,340,45.45%
2,687,416,60.55%
3,314,127,40.45%
4,750,317,42.27%
5,1050,513,48.86%
6,988,492,49.80%
7,1055,597,56.59%
8,848,439,51.77%
9,1533,806,52.58%
10,1099,546,49.68%
11,573,229,39.97%
12,1205,609,50.54%
13,1063,698,65.66%
14,1307,731,55.93%
15,1596,811,50.81%
16,844,432,51.18%
17,1448,880,60.77%
18,1438,896,62.31%
19,1303,684,52.49%
20,1497,999,66.73%
21,1163,748,64.32%
22,1776,1081,60.87%
23,1557,929,59.67%
24,1345,869,64.61%
25,839,628,74.85%
26,1599,1073,67.10%
27,1587,1025,64.59%
Total,"31,212","17,915",57.40%
,,,
Ward 7,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1574,899,57.12%
2,1537,971,63.18%
3,1203,617,51.29%
4,1237,761,61.52%
5,1162,849,73.06%
6,371,250,67.39%
7,1235,698,56.52%
8,715,355,49.65%
9,1286,628,48.83%
10,1289,780,60.51%
11,1114,699,62.75%
12,1625,847,52.12%
13,1573,665,42.28%
14,1187,587,49.45%
15,1525,792,51.93%
16,634,308,48.58%
17,536,263,49.07%
18,202,150,74.26%
19,1297,906,69.85%
20,778,490,62.98%
21,609,414,67.98%
22,788,480,60.91%
23,586,336,57.34%
24,250,135,54.00%
25,1009,541,53.62%
26,1441,768,53.30%
27,836,498,59.57%
28,536,299,55.78%
29,762,451,59.19%
30,741,414,55.87%
31,321,183,57.01%
Total,"29,959","17,034",56.86%
,,,
Ward 8,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1661,943,56.77%
2,876,420,47.95%
3,519,351,67.63%
4,1402,848,60.49%
5,872,530,60.78%
6,1379,886,64.25%
7,833,545,65.43%
8,1433,1016,70.90%
9,1320,750,56.82%
10,2194,935,42.62%
11,1160,713,61.47%
12,900,694,77.11%
13,994,678,68.21%
14,1321,844,63.89%
15,845,584,69.11%
16,1009,589,58.37%
17,1310,907,69.24%
18,1770,1213,68.53%
19,1758,1021,58.08%
20,914,499,54.60%
21,874,509,58.24%
22,903,423,46.84%
23,1726,1042,60.37%
24,1013,642,63.38%
25,514,329,64.01%
26,1017,560,55.06%
27,1187,750,63.18%
28,992,522,52.62%
29,1008,637,63.19%
30,1029,648,62.97%
Total,"34,733","21,028",60.54%
,,,
Ward 9,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1257,776,61.73%
2,1366,707,51.76%
3,487,271,55.65%
4,1010,632,62.57%
5,1037,621,59.88%
6,1435,935,65.16%
7,1528,823,53.86%
8,1558,757,48.59%
9,1145,555,48.47%
10,1503,931,61.94%
11,764,380,49.74%
12,1360,879,64.63%
13,1213,796,65.62%
14,1082,517,47.78%
15,1192,690,57.89%
16,1777,963,54.19%
17,669,303,45.29%
18,931,421,45.22%
19,970,369,38.04%
20,971,666,68.59%
21,1608,759,47.20%
22,1394,546,39.17%
23,954,438,45.91%
24,1140,638,55.96%
25,1025,546,53.27%
26,1228,723,58.88%
27,655,392,59.85%
28,926,457,49.35%
29,1690,967,57.22%
30,1496,798,53.34%
Total,"35,371","19,256",54.44%
,,,
Ward 10,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,719,283,39.36%
2,660,342,51.82%
3,1190,496,41.68%
4,1242,592,47.67%
5,557,229,41.11%
6,772,295,38.21%
7,1175,568,48.34%
8,1097,565,51.50%
9,1385,650,46.93%
10,1217,636,52.26%
11,536,234,43.66%
12,1116,552,49.46%
13,1322,696,52.65%
14,1650,932,56.48%
15,1401,772,55.10%
16,1622,881,54.32%
17,1093,682,62.40%
18,1648,983,59.65%
19,1173,636,54.22%
20,676,381,56.36%
21,663,418,63.05%
22,1425,900,63.16%
23,1239,555,44.79%
24,1216,377,31.00%
25,1287,458,35.59%
Total,"28,081","14,113",50.26%
,,,
Ward 11,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,817,399,48.84%
2,387,176,45.48%
3,1915,1039,54.26%
4,1033,658,63.70%
5,1211,681,56.23%
6,1441,829,57.53%
7,1427,616,43.17%
8,1721,971,56.42%
9,1559,909,58.31%
10,335,192,57.31%
11,225,150,66.67%
12,400,318,79.50%
13,1074,724,67.41%
14,1876,1240,66.10%
15,1520,908,59.74%
16,1515,1069,70.56%
17,1007,636,63.16%
18,1532,787,51.37%
19,446,259,58.07%
20,897,697,77.70%
21,1385,1045,75.45%
22,1222,823,67.35%
23,1099,779,70.88%
Total,"26,044","15,905",61.07%
,,,
Ward 12,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,744,428,57.53%
2,750,397,52.93%
3,871,567,65.10%
4,836,517,61.84%
5,1042,580,55.66%
6,1053,553,52.52%
7,966,525,54.35%
8,847,480,56.67%
9,428,259,60.51%
10,1191,564,47.36%
11,956,475,49.69%
12,1004,449,44.72%
13,929,472,50.81%
14,959,483,50.36%
15,1206,566,46.93%
16,1212,570,47.03%
17,954,493,51.68%
18,1244,538,43.25%
19,608,342,56.25%
20,1123,533,47.46%
21,895,478,53.41%
22,1002,403,40.22%
Total,"20,820","10,672",51.26%
,,,
Ward 13,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,734,429,58.45%
2,874,496,56.75%
3,857,686,80.05%
4,1019,596,58.49%
5,685,497,72.55%
6,693,501,72.29%
7,621,443,71.34%
8,974,649,66.63%
9,838,687,81.98%
10,870,665,76.44%
11,589,396,67.23%
12,637,350,54.95%
13,609,430,70.61%
14,721,446,61.86%
15,666,437,65.62%
16,872,528,60.55%
17,1158,686,59.24%
18,740,446,60.27%
19,540,400,74.07%
20,820,562,68.54%
21,704,480,68.18%
22,1038,658,63.39%
23,803,631,78.58%
24,828,523,63.16%
25,822,496,60.34%
26,698,425,60.89%
27,706,403,57.08%
28,757,437,57.73%
29,734,419,57.08%
30,788,571,72.46%
31,616,418,67.86%
32,581,400,68.85%
33,689,462,67.05%
34,835,598,71.62%
35,944,704,74.58%
36,605,321,53.06%
37,790,594,75.19%
38,648,364,56.17%
39,777,592,76.19%
40,710,529,74.51%
Total,"30,590","20,355",66.54%
,,,
Ward 14,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1658,816,49.22%
2,1001,537,53.65%
3,867,457,52.71%
4,386,188,48.70%
5,1514,659,43.53%
6,1789,879,49.13%
7,1490,788,52.89%
8,1588,827,52.08%
9,1822,858,47.09%
10,1619,805,49.72%
11,1826,851,46.60%
12,1154,579,50.17%
13,1591,848,53.30%
