Registered Voters,Ballots Cast,Turnout,
Ward 4,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1050,971,92.48%
2,1024,914,89.26%
3,740,546,73.78%
4,1100,840,76.36%
5,768,657,85.55%
6,929,756,81.38%
7,1010,797,78.91%
8,877,707,80.62%
9,804,679,84.45%
10,935,792,84.71%
11,908,650,71.59%
12,1064,792,74.44%
13,1056,969,91.76%
14,772,650,84.20%
15,870,714,82.07%
16,1446,1227,84.85%
17,909,822,90.43%
18,830,621,74.82%
19,820,543,66.22%
20,718,579,80.64%
21,861,798,92.68%
22,778,644,82.78%
23,958,824,86.01%
24,768,619,80.60%
25,977,897,91.81%
26,778,596,76.61%
27,1040,882,84.81%
28,709,586,82.65%
29,842,614,72.92%
30,1178,881,74.79%
31,672,605,90.03%
32,924,702,75.97%
33,773,615,79.56%
34,773,584,75.55%
35,923,731,79.20%
36,963,779,80.89%
37,1498,1293,86.32%
38,825,691,83.76%
Total,"34,870","28,567",81.92%
,,,
Ward 5,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,804,592,73.63%
2,647,456,70.48%
3,711,670,94.23%
4,872,804,92.20%
5,782,564,72.12%
6,677,487,71.94%
7,639,629,98.44%
8,745,664,89.13%
9,800,727,90.88%
10,745,507,68.05%
11,701,616,87.87%
12,632,384,60.76%
13,779,526,67.52%
14,596,463,77.68%
15,693,619,89.32%
16,846,573,67.73%
17,774,501,64.73%
18,688,574,83.43%
19,658,584,88.75%
20,747,661,88.49%
21,680,622,91.47%
22,782,714,91.30%
23,1199,1072,89.41%
24,880,759,86.25%
25,717,543,75.73%
26,793,577,72.76%
27,657,667,101.52%
28,820,606,73.90%
29,833,621,74.55%
30,639,396,61.97%
31,685,455,66.42%
32,777,646,83.14%
33,845,638,75.50%
34,743,680,91.52%
35,870,785,90.23%
36,643,390,60.65%
37,750,643,85.73%
38,808,576,71.29%
39,584,536,91.78%
40,611,459,75.12%
41,314,289,92.04%
Total,"30,166","24,275",80.47%
,,,
Ward 6,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,659,522,79.21%
2,681,481,70.63%
3,682,521,76.39%
4,607,376,61.94%
5,619,344,55.57%
6,733,556,75.85%
7,750,491,65.47%
8,659,481,72.99%
9,760,488,64.21%
10,640,374,58.44%
11,681,415,60.94%
12,654,385,58.87%
13,568,364,64.08%
14,705,452,64.11%
15,824,454,55.10%
16,691,508,73.52%
17,660,357,54.09%
18,679,389,57.29%
19,682,422,61.88%
20,622,315,50.64%
21,541,255,47.13%
22,567,315,55.56%
23,531,284,53.48%
24,523,273,52.20%
25,511,265,51.86%
26,616,385,62.50%
27,572,298,52.10%
28,519,252,48.55%
29,642,496,77.26%
30,669,407,60.84%
31,667,473,70.91%
32,670,450,67.16%
33,656,470,71.65%
34,644,485,75.31%
35,603,439,72.80%
36,659,519,78.76%
37,647,492,76.04%
38,668,508,76.05%
39,670,414,61.79%
40,678,426,62.83%
41,672,479,71.28%
42,741,484,65.32%
43,711,452,63.57%
44,795,555,69.81%
45,670,477,71.19%
46,541,361,66.73%
47,536,353,65.86%
48,698,474,67.91%
Total,"31,173","20,236",64.92%
,,,
Ward 7,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,730,494,67.67%
2,788,496,62.94%
3,622,455,73.15%
4,653,447,68.45%
5,650,447,68.77%
6,763,593,77.72%
7,806,478,59.31%
8,621,376,60.55%
9,1002,779,77.74%
10,755,530,70.20%
11,792,535,67.55%
12,766,481,62.79%
13,465,317,68.17%
14,860,544,63.26%
15,630,447,70.95%
16,783,459,58.62%
17,646,372,57.59%
18,667,460,68.97%
19,646,436,67.49%
20,690,371,53.77%
21,578,356,61.59%
22,691,409,59.19%
23,592,421,71.11%
24,617,390,63.21%
25,716,391,54.61%
26,528,367,69.51%
27,600,366,61.00%
28,574,364,63.41%
29,637,410,64.36%
30,635,363,57.17%
31,573,341,59.51%
32,740,554,74.86%
33,725,552,76.14%
34,816,549,67.28%
35,738,483,65.45%
36,734,538,73.30%
37,652,468,71.78%
38,666,389,58.41%
39,621,407,65.54%
40,602,388,64.45%
41,694,423,60.95%
42,634,402,63.41%
43,673,431,64.04%
44,651,396,60.83%
45,854,481,56.32%
46,258,181,70.16%
Total,"31,134","20,337",65.32%
,,,
Ward 8,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,732,423,57.79%
2,774,453,58.53%
3,667,517,77.51%
4,659,514,78.00%
5,673,489,72.66%
6,679,455,67.01%
7,705,519,73.62%
8,601,460,76.54%
9,460,415,90.22%
10,709,565,79.69%
11,581,388,66.78%
12,620,414,66.77%
13,831,542,65.22%
14,679,420,61.86%
15,724,451,62.29%
16,255,153,60.00%
17,557,402,72.17%
18,795,462,58.11%
19,682,502,73.61%
20,732,540,73.77%
21,914,608,66.52%
22,626,437,69.81%
23,712,382,53.65%
24,358,267,74.58%
25,711,480,67.51%
26,693,432,62.34%
27,707,516,72.98%
28,710,472,66.48%
29,771,530,68.74%
30,731,519,71.00%
31,566,371,65.55%
32,524,371,70.80%
33,678,397,58.55%
34,647,440,68.01%
35,721,547,75.87%
36,693,474,68.40%
37,484,368,76.03%
38,548,355,64.78%
39,627,456,72.73%
40,546,395,72.34%
41,733,516,70.40%
42,857,606,70.71%
43,432,274,63.43%
44,504,355,70.44%
45,774,425,54.91%
46,550,376,68.36%
47,604,399,66.06%
48,700,440,62.86%
49,632,431,68.20%
50,676,469,69.38%
51,644,473,73.45%
52,795,569,71.57%
53,376,280,74.47%
54,677,405,59.82%
55,534,371,69.48%
56,664,486,73.19%
Total,"36,234","24,776",68.38%
,,,
Ward 9,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,691,456,65.99%
2,584,361,61.82%
3,774,343,44.32%
4,524,348,66.41%
5,661,434,65.66%
6,648,418,64.51%
7,657,352,53.58%
8,780,479,61.41%
9,712,515,72.33%
10,606,352,58.09%
11,536,325,60.63%
12,707,517,73.13%
13,703,493,70.13%
14,722,498,68.98%
15,1297,585,45.10%
16,636,423,66.51%
17,630,348,55.24%
18,508,318,62.60%
19,655,442,67.48%
20,676,419,61.98%
21,678,428,63.13%
22,654,484,74.01%
23,739,505,68.34%
24,638,445,69.75%
25,633,432,68.25%
26,1000,566,56.60%
27,584,373,63.87%
28,640,290,45.31%
29,768,403,52.47%
30,616,384,62.34%
31,681,370,54.33%
32,680,454,66.76%
33,642,350,54.52%
34,663,376,56.71%
35,606,410,67.66%
36,634,392,61.83%
37,896,676,75.45%
38,682,437,64.08%
39,689,462,67.05%
40,747,485,64.93%
41,549,371,67.58%
42,653,462,70.75%
43,727,418,57.50%
44,589,381,64.69%
45,595,373,62.69%
46,708,420,59.32%
47,679,458,67.45%
48,682,468,68.62%
49,697,487,69.87%
50,827,608,73.52%
51,593,427,72.01%
Total,"34,876","22,021",63.14%
,,,
Ward 10,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,644,395,61.34%
2,727,498,68.50%
3,897,536,59.75%
4,739,396,53.59%
5,699,417,59.66%
6,692,438,63.29%
7,654,371,56.73%
8,540,274,50.74%
9,728,484,66.48%
10,781,537,68.76%
11,1086,628,57.83%
12,580,356,61.38%
13,865,442,51.10%
14,961,633,65.87%
15,1300,818,62.92%
16,680,398,58.53%
17,978,665,68.00%
18,540,292,54.07%
19,793,523,65.95%
20,805,519,64.47%
21,841,518,61.59%
22,564,293,51.95%
23,778,430,55.27%
24,711,514,72.29%
25,252,143,56.75%
26,781,358,45.84%
27,898,451,50.22%
28,931,557,59.83%
29,827,519,62.76%
30,771,460,59.66%
31,784,417,53.19%
32,807,519,64.31%
33,671,386,57.53%
34,684,356,52.05%
35,762,538,70.60%
36,220,139,63.18%
Total,"26,971","16,218",60.13%
,,,
Ward 11,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,940,650,69.15%
2,165,56,33.94%
3,782,629,80.43%
4,825,523,63.39%
5,1175,777,66.13%
6,1112,918,82.55%
7,715,584,81.68%
8,934,574,61.46%
9,846,543,64.18%
10,986,624,63.29%
11,954,690,72.33%
12,1109,785,70.78%
13,1039,755,72.67%
14,649,428,65.95%
15,370,257,69.46%
16,709,454,64.03%
17,942,721,76.54%
18,816,524,64.22%
19,1101,792,71.93%
20,615,450,73.17%
21,899,713,79.31%
22,1073,743,69.25%
23,444,343,77.25%
24,791,651,82.30%
25,923,751,81.37%
26,820,637,77.68%
27,476,264,55.46%
28,486,299,61.52%
29,900,707,78.56%
30,644,355,55.12%
31,833,613,73.59%
32,358,279,77.93%
33,896,776,86.61%
34,331,251,75.83%
35,209,139,66.51%
36,468,301,64.32%
37,369,231,62.60%
38,489,310,63.39%
Total,"28,193","20,097",71.28%
,,,
Ward 12,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,776,518,66.75%
2,765,476,62.22%
3,923,625,67.71%
4,840,589,70.12%
5,814,506,62.16%
6,1030,633,61.46%
7,820,479,58.41%
8,933,547,58.63%
9,754,474,62.86%
10,1015,655,64.53%
11,950,572,60.21%
12,981,534,54.43%
13,965,583,60.41%
14,867,471,54.33%
15,913,486,53.23%
16,934,476,50.96%
17,974,614,63.04%
18,923,450,48.75%
19,811,521,64.24%
20,1108,610,55.05%
21,892,549,61.55%
22,927,490,52.86%
23,867,563,64.94%
Total,"20,782","12,421",59.77%
,,,
Ward 13,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,542,438,80.81%
2,466,374,80.26%
3,555,383,69.01%
4,684,505,73.83%
5,740,540,72.97%
6,518,431,83.20%
7,563,386,68.56%
8,483,353,73.08%
9,672,477,70.98%
10,483,402,83.23%
11,616,486,78.90%
12,638,427,66.93%
13,586,434,74.06%
14,672,446,66.37%
15,852,651,76.41%
16,495,332,67.07%
17,555,398,71.71%
18,520,382,73.46%
19,857,572,66.74%
20,423,326,77.07%
21,644,529,82.14%
22,638,520,81.50%
23,563,372,66.07%
24,631,453,71.79%
25,651,464,71.27%
26,683,467,68.37%
27,585,452,77.26%
28,547,346,63.25%
29,538,361,67.10%
30,512,356,69.53%
31,670,507,75.67%
32,538,412,76.58%
33,545,436,80.00%
34,708,440,62.15%
35,576,399,69.27%
36,458,320,69.87%
37,659,448,67.98%
38,500,388,77.60%
39,611,422,69.07%
40,617,448,72.61%
41,753,535,71.05%
42,607,478,78.75%
43,627,458,73.05%
44,683,462,67.64%
45,687,476,69.29%
46,775,515,66.45%
47,741,527,71.12%
48,521,397,76.20%
Total,"29,188","21,131",72.40%
,,,
Ward 14,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,737,565,76.66%
2,1025,655,63.90%
3,802,492,61.35%
4,693,535,77.20%
5,1193,712,59.68%
6,393,264,67.18%
7,984,649,65.96%
8,958,606,63.26%
9,831,644,77.50%
10,583,361,61.92%
11,475,293,61.68%
12,797,556,69.76%
13,726,448,61.71%
14,739,485,65.63%
15,894,540,60.40%
16,608,370,60.86%
17,683,433,63.40%
18,343,244,71.14%
19,769,466,60.60%
20,616,381,61.85%
21,758,478,63.06%
22,1039,711,68.43%
23,633,431,68.09%
24,769,611,79.45%
25,494,294,59.51%
26,575,382,66.43%
27,799,507,63.45%
28,625,411,65.76%
29,639,376,58.84%
30,534,327,61.24%
31,475,266,56.00%
Total,"22,189","14,493",65.32%
,,,
Ward 15,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,858,440,51.28%
2,499,270,54.11%
3,542,292,53.87%
4,891,504,56.57%
5,908,471,51.87%
6,959,510,53.18%
7,557,295,52.96%
8,856,485,56.66%
9,1099,652,59.33%
10,1125,666,59.20%
11,1052,595,56.56%
12,993,585,58.91%
13,944,488,51.69%
14,860,438,50.93%
15,850,441,51.88%
16,962,550,57.17%
17,514,285,55.45%
18,489,268,54.81%
19,818,415,50.73%
20,580,289,49.83%
21,444,244,54.95%
22,637,299,46.94%
23,595,312,52.44%
24,565,292,51.68%
Total,"18,597","10,086",54.23%
,,,
Ward 16,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,991,583,58.83%
2,733,359,48.98%
3,572,320,55.94%
4,690,424,61.45%
5,588,265,45.07%
6,623,327,52.49%
7,697,364,52.22%
8,572,267,46.68%
9,653,340,52.07%
10,630,327,51.90%
11,704,379,53.84%
12,643,334,51.94%
13,781,440,56.34%
14,549,290,52.82%
15,621,349,56.20%
16,561,317,56.51%
17,918,498,54.25%
18,725,428,59.03%
19,655,368,56.18%
20,506,277,54.74%
21,600,334,55.67%
22,657,338,51.45%
23,916,501,54.69%
24,341,188,55.13%
25,693,421,60.75%
26,535,280,52.34%
27,566,291,51.41%
28,519,332,63.97%
29,558,309,55.38%
30,511,302,59.10%
31,630,352,55.87%
32,875,495,56.57%
33,547,293,53.56%
34,575,315,54.78%
35,967,540,55.84%
36,449,255,56.79%
Total,"23,351","12,802",54.82%
,,,
Ward 17,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,742,495,66.71%
2,718,441,61.42%
3,747,440,58.90%
4,819,526,64.22%
5,551,339,61.52%
6,760,453,59.61%
7,828,446,53.86%
8,689,406,58.93%
9,539,339,62.89%
10,845,560,66.27%
11,572,339,59.27%
12,993,621,62.54%
13,653,364,55.74%
14,839,490,58.40%
15,731,447,61.15%
16,843,506,60.02%
17,764,443,57.98%
18,686,476,69.39%
19,542,261,48.15%
20,760,510,67.11%
21,710,507,71.41%
22,673,401,59.58%
23,530,289,54.53%
24,730,441,60.41%
25,608,352,57.89%
26,794,446,56.17%
27,711,404,56.82%
28,551,354,64.25%
29,669,426,63.68%
30,713,429,60.17%
31,553,261,47.20%
32,624,345,55.29%
33,561,301,53.65%
34,582,297,51.03%
35,593,292,49.24%
36,590,402,68.14%
37,603,338,56.05%
38,827,477,57.68%
39,625,432,69.12%
40,718,453,63.09%
41,759,549,72.33%
Total,"28,345","17,098",60.32%
,,,
Ward 18,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,670,452,67.46%
2,780,538,68.97%
3,617,446,72.29%
4,658,500,75.99%
5,497,294,59.15%
6,621,440,70.85%
7,759,494,65.09%
8,642,463,72.12%
9,576,443,76.91%
10,763,564,73.92%
11,659,444,67.37%
12,645,438,67.91%
13,712,505,70.93%
14,676,478,70.71%
15,844,532,63.03%
16,632,438,69.30%
17,738,487,65.99%
18,571,360,63.05%
19,607,416,68.53%
20,533,352,66.04%
21,749,582,77.70%
22,692,501,72.40%
23,723,474,65.56%
24,778,504,64.78%
25,757,527,69.62%
26,688,545,79.22%
27,647,408,63.06%
28,702,486,69.23%
29,766,541,70.63%
30,843,610,72.36%
31,737,508,68.93%
32,659,472,71.62%
33,573,366,63.87%
34,657,509,77.47%
35,674,518,76.85%
36,735,516,70.20%
37,714,514,71.99%
38,613,425,69.33%
39,794,417,52.52%
40,761,520,68.33%
41,719,549,76.36%
42,673,428,63.60%
43,616,426,69.16%
44,698,462,66.19%
45,790,495,62.66%
46,814,554,68.06%
47,559,366,65.47%
48,536,336,62.69%
49,558,316,56.63%
50,628,382,60.83%
Total,"34,053","23,341",68.54%
,,,
Ward 19,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,588,482,81.97%
2,817,695,85.07%
3,557,478,85.82%
4,773,654,84.61%
5,669,594,88.79%
6,726,620,85.40%
7,585,500,85.47%
8,776,618,79.64%
9,479,398,83.09%
10,731,650,88.92%
11,675,550,81.48%
12,595,500,84.03%
13,748,603,80.61%
14,757,594,78.47%
15,908,752,82.82%
16,664,549,82.68%
17,553,463,83.73%
18,582,515,88.49%
19,803,677,84.31%
20,569,431,75.75%
21,749,586,78.24%
22,666,583,87.54%
23,658,565,85.87%
24,486,407,83.74%
25,612,513,83.82%
26,631,541,85.74%
27,625,514,82.24%
28,741,602,81.24%
29,774,620,80.10%
30,653,548,83.92%
31,577,496,85.96%
32,585,496,84.79%
33,729,614,84.22%
34,539,476,88.31%
35,566,484,85.51%
36,908,730,80.40%
37,614,514,83.71%
38,593,488,82.29%
39,307,247,80.46%
40,676,583,86.24%
41,665,556,83.61%
42,501,440,87.82%
43,926,701,75.70%
44,796,655,82.29%
45,679,555,81.74%
46,651,553,84.95%
47,898,725,80.73%
48,901,639,70.92%
49,739,625,84.57%
50,556,454,81.65%
51,696,602,86.49%
52,841,669,79.55%
53,602,511,84.88%
54,595,485,81.51%
55,594,499,84.01%
56,624,562,90.06%
57,504,437,86.71%
Total,"38,012","31,598",83.13%
,,,
Ward 20,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,691,484,70.04%
2,355,186,52.39%
3,621,412,66.34%
4,479,243,50.73%
5,813,560,68.88%
6,462,234,50.65%
7,924,564,61.04%
8,660,436,66.06%
9,893,665,74.47%
10,574,336,58.54%
11,959,629,65.59%
12,680,460,67.65%
13,840,509,60.60%
14,364,283,77.75%
15,1022,515,50.39%
16,759,582,76.68%
17,667,331,49.63%
18,555,342,61.62%
19,752,502,66.76%
20,727,376,51.72%
21,684,398,58.19%
22,796,630,79.15%
23,794,465,58.56%
24,769,624,81.14%
25,617,354,57.37%
26,652,467,71.63%
27,441,278,63.04%
28,498,295,59.24%
29,790,565,71.52%
30,368,227,61.68%
31,873,598,68.50%
32,711,413,58.09%
33,452,290,64.16%
34,693,637,91.92%
35,806,359,44.54%
36,285,159,55.79%
37,251,144,57.37%
38,309,173,55.99%
39,59,40,67.80%
Total,"24,645","15,765",63.97%
,,,
Ward 21,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,706,511,72.38%
2,604,406,67.22%
3,725,460,63.45%
4,745,447,60.00%
5,694,487,70.17%
6,635,401,63.15%
7,624,466,74.68%
8,710,493,69.44%
9,664,479,72.14%
10,603,393,65.17%
11,679,439,64.65%
12,678,419,61.80%
13,726,475,65.43%
14,754,490,64.99%
15,622,423,68.01%
16,662,448,67.67%
17,666,413,62.01%
18,733,529,72.17%
19,748,501,66.98%
20,635,425,66.93%
21,604,385,63.74%
22,636,418,65.72%
23,624,424,67.95%
24,698,470,67.34%
25,610,400,65.57%
26,742,506,68.19%
27,705,490,69.50%
28,872,555,63.65%
29,735,494,67.21%
30,665,417,62.71%
31,458,338,73.80%
32,708,465,65.68%
33,627,397,63.32%
34,703,448,63.73%
35,777,543,69.88%
36,654,456,69.72%
37,541,341,63.03%
38,778,474,60.93%
39,687,411,59.83%
40,650,436,67.08%
41,689,482,69.96%
42,763,504,66.06%
43,737,467,63.36%
44,751,488,64.98%
45,677,439,64.84%
46,699,490,70.10%
47,669,433,64.72%
48,717,453,63.18%
49,714,503,70.45%
50,583,341,58.49%
51,658,463,70.36%
52,685,472,68.91%
53,548,382,69.71%
54,624,414,66.35%
Total,"36,601","24,304",66.40%
,,,
Ward 22,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,403,270,67.00%
2,839,609,72.59%
3,1216,732,60.20%
4,757,400,52.84%
5,848,472,55.66%
6,815,469,57.55%
7,606,381,62.87%
8,1005,690,68.66%
9,771,391,50.71%
10,1061,643,60.60%
11,810,406,50.12%
12,677,426,62.92%
13,882,516,58.50%
14,759,407,53.62%
15,707,398,56.29%
16,660,395,59.85%
17,953,652,68.42%
18,792,406,51.26%
19,368,232,63.04%
20,857,473,55.19%
21,802,473,58.98%
22,913,470,51.48%
23,814,538,66.09%
24,1031,566,54.90%
25,845,466,55.15%
Total,"20,191","11,881",58.84%
,,,
Ward 23,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,581,471,81.07%
2,687,513,74.67%
3,584,462,79.11%
4,684,542,79.24%
5,729,502,68.86%
6,782,519,66.37%
7,680,444,65.29%
8,868,587,67.63%
9,677,465,68.69%
10,805,546,67.83%
11,856,545,63.67%
12,639,528,82.63%
13,726,455,62.67%
14,628,469,74.68%
15,695,439,63.17%
16,619,486,78.51%
17,663,387,58.37%
18,592,444,75.00%
19,693,405,58.44%
20,637,336,52.75%
21,588,472,80.27%
22,658,498,75.68%
23,598,463,77.42%
24,657,421,64.08%
25,766,430,56.14%
26,730,478,65.48%
27,563,453,80.46%
28,690,543,78.70%
29,551,421,76.41%
30,881,561,63.68%
31,630,428,67.94%
32,763,447,58.58%
33,814,529,64.99%
34,808,534,66.09%
35,544,386,70.96%
36,632,483,76.42%
37,646,529,81.89%
38,610,449,73.61%
39,737,513,69.61%
Total,"26,691","18,583",69.62%
,,,
Ward 24,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,654,380,58.10%
2,705,416,59.01%
3,786,488,62.09%
4,541,348,64.33%
5,420,234,55.71%
6,684,409,59.80%
7,481,292,60.71%
8,368,202,54.89%
9,673,412,61.22%
10,328,195,59.45%
11,844,488,57.82%
12,434,261,60.14%
13,474,250,52.74%
14,608,383,62.99%
15,410,228,55.61%
16,1622,1184,73.00%
17,578,313,54.15%
18,674,422,62.61%
19,782,478,61.13%
20,620,355,57.26%
21,382,216,56.54%
22,886,506,57.11%
23,675,362,53.63%
24,858,458,53.38%
25,556,328,58.99%
26,927,611,65.91%
27,872,403,46.22%
28,455,258,56.70%
29,476,302,63.45%
30,398,251,63.07%
31,698,449,64.33%
32,331,214,64.65%
33,464,265,57.11%
34,616,418,67.86%
35,597,420,70.35%
36,806,464,57.57%
37,411,231,56.20%
38,469,309,65.88%
39,701,428,61.06%
40,956,503,52.62%
41,468,289,61.75%
Total,"25,688","15,423",60.04%
,,,
Ward 25,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,686,500,72.89%
2,947,735,77.61%
3,1276,1137,89.11%
4,768,481,62.63%
5,896,639,71.32%
6,638,259,40.60%
7,867,637,73.47%
8,962,694,72.14%
9,941,609,64.72%
10,1080,922,85.37%
11,986,641,65.01%
12,777,567,72.97%
13,1021,732,71.69%
14,883,518,58.66%
15,789,539,68.31%
16,1284,1153,89.80%
17,869,673,77.45%
18,925,485,52.43%
19,958,648,67.64%
20,687,386,56.19%
21,1434,1212,84.52%
22,900,607,67.44%
23,885,690,77.97%
24,916,622,67.90%
25,748,569,76.07%
26,884,594,67.19%
27,1114,866,77.74%
28,858,643,74.94%
29,703,497,70.70%
30,885,601,67.91%
31,1570,1316,83.82%
32,854,569,66.63%
Total,"29,991","21,741",72.49%
,,,
Ward 26,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,662,525,79.31%
2,610,420,68.85%
3,727,591,81.29%
4,608,361,59.38%
5,615,422,68.62%
6,762,417,54.72%
7,537,444,82.68%
8,443,304,68.62%
9,642,401,62.46%
10,638,470,73.67%
11,649,453,69.80%
12,716,495,69.13%
13,524,303,57.82%
14,581,391,67.30%
15,542,329,60.70%
16,535,271,50.65%
17,530,434,81.89%
18,580,354,61.03%
19,545,313,57.43%
20,615,444,72.20%
21,813,555,68.27%
22,547,286,52.29%
23,540,363,67.22%
24,642,405,63.08%
25,565,395,69.91%
26,487,342,70.23%
27,786,539,68.58%
28,767,614,80.05%
29,357,259,72.55%
30,513,387,75.44%
31,388,232,59.79%
32,719,589,81.92%
33,711,565,79.47%
34,661,512,77.46%
35,609,428,70.28%
36,598,490,81.94%
37,696,507,72.84%
38,429,274,63.87%
39,724,562,77.62%
40,445,322,72.36%
41,708,511,72.18%
42,530,382,72.08%
43,512,304,59.38%
44,471,264,56.05%
45,462,301,65.15%
46,469,390,83.16%
47,545,369,67.71%
48,624,492,78.85%
49,482,323,67.01%
Total,"28,861","20,104",69.66%
,,,
Ward 27,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1562,1377,88.16%
2,774,651,84.11%
3,542,302,55.72%
4,430,299,69.53%
5,775,448,57.81%
6,950,708,74.53%
7,1027,830,80.82%
8,1203,421,35.00%
9,384,320,83.33%
10,743,502,67.56%
11,898,745,82.96%
12,568,505,88.91%
13,1020,748,73.33%
14,482,269,55.81%
15,560,289,51.61%
16,798,708,88.72%
17,762,544,71.39%
18,575,380,66.09%
19,560,280,50.00%
20,605,419,69.26%
21,671,588,87.63%
22,552,259,46.92%
23,601,372,61.90%
24,725,363,50.07%
25,644,505,78.42%
26,559,363,64.94%
27,1006,696,69.18%
28,956,845,88.39%
29,666,340,51.05%
30,382,253,66.23%
31,661,400,60.51%
32,631,494,78.29%
33,1005,858,85.37%
34,637,363,56.99%
35,877,737,84.04%
36,545,370,67.89%
37,830,649,78.19%
38,969,783,80.80%
39,537,364,67.78%
40,1017,857,84.27%
41,702,455,64.81%
42,503,410,81.51%
43,576,400,69.44%
44,640,373,58.28%
45,2084,1806,86.66%
46,596,537,90.10%
47,520,382,73.46%
48,1525,1153,75.61%
49,608,362,59.54%
